COMPARISON BETWEEN DIJKSTRA AND A*
----------------------------------
70.1167820330821 km, 56 (dijkstra), 15 (a*)
4258.263589584052 km, 1152 (dijkstra), 391 (a*)
4111.258710627904 km, 1180 (dijkstra), 814 (a*)
1380.4851390976733 km, 565 (dijkstra), 103 (a*)
794.1177719484062 km, 272 (dijkstra), 46 (a*)
2487.102968351142 km, 816 (dijkstra), 234 (a*)
775.7877039429862 km, 449 (dijkstra), 60 (a*)
1062.0155435309352 km, 464 (dijkstra), 60 (a*)
1680.2026953987024 km, 500 (dijkstra), 218 (a*)
3822.647458801881 km, 1169 (dijkstra), 577 (a*)
1281.9629342093003 km, 530 (dijkstra), 258 (a*)
1911.0827278573056 km, 844 (dijkstra), 347 (a*)
1349.4853965744267 km, 708 (dijkstra), 286 (a*)
653.9097126657151 km, 336 (dijkstra), 46 (a*)
1302.2972533373309 km, 272 (dijkstra), 60 (a*)
896.8143965382236 km, 221 (dijkstra), 37 (a*)
1115.228259072247 km, 311 (dijkstra), 92 (a*)
790.3053674170113 km, 369 (dijkstra), 80 (a*)
3323.743765593122 km, 981 (dijkstra), 133 (a*)
1478.7327984427561 km, 479 (dijkstra), 156 (a*)
150.0008440334269 km, 25 (dijkstra), 4 (a*)
6210.532445986141 km, 1186 (dijkstra), 1097 (a*)
221.59109400943814 km, 48 (dijkstra), 6 (a*)
1331.5993988830514 km, 407 (dijkstra), 460 (a*)
1672.452468826907 km, 484 (dijkstra), 98 (a*)
804.7333532719836 km, 416 (dijkstra), 84 (a*)
935.9038774354957 km, 399 (dijkstra), 60 (a*)
4801.486152050347 km, 883 (dijkstra), 269 (a*)
2126.871492308634 km, 705 (dijkstra), 247 (a*)
2537.0689083817315 km, 1045 (dijkstra), 195 (a*)
214.88656745016252 km, 61 (dijkstra), 20 (a*)
594.6329162989874 km, 70 (dijkstra), 25 (a*)
1442.1862131505154 km, 433 (dijkstra), 24 (a*)
1890.3864245594013 km, 953 (dijkstra), 297 (a*)
2214.8582197083033 km, 557 (dijkstra), 156 (a*)
1695.813610239078 km, 993 (dijkstra), 618 (a*)
1607.8554539592005 km, 701 (dijkstra), 271 (a*)
1311.1103651512933 km, 826 (dijkstra), 232 (a*)
101.89126881761275 km, 16 (dijkstra), 3 (a*)
220.041110827105 km, 102 (dijkstra), 11 (a*)
234.41932507050478 km, 38 (dijkstra), 6 (a*)
760.916917637523 km, 544 (dijkstra), 117 (a*)
2523.743388893639 km, 762 (dijkstra), 188 (a*)
1601.5032987556772 km, 729 (dijkstra), 275 (a*)
451.7957460291027 km, 242 (dijkstra), 23 (a*)
160.02767192070274 km, 101 (dijkstra), 15 (a*)
1293.3802301625483 km, 347 (dijkstra), 54 (a*)
323.73853658399446 km, 153 (dijkstra), 71 (a*)
712.7279263020581 km, 420 (dijkstra), 99 (a*)
276.3135643147714 km, 14 (dijkstra), 7 (a*)
1118.029320961723 km, 666 (dijkstra), 195 (a*)
4572.215791985383 km, 508 (dijkstra), 215 (a*)
1223.211989601868 km, 773 (dijkstra), 175 (a*)
745.6504675004543 km, 199 (dijkstra), 35 (a*)
1722.3066394626817 km, 1010 (dijkstra), 273 (a*)
1506.2695559610897 km, 541 (dijkstra), 160 (a*)
1800.9267530428417 km, 799 (dijkstra), 293 (a*)
744.3527502181889 km, 568 (dijkstra), 59 (a*)
253.7837223345442 km, 3 (dijkstra), 1 (a*)
3302.4631904667913 km, 1085 (dijkstra), 561 (a*)
3249.4127135905096 km, 800 (dijkstra), 136 (a*)
1897.9761040499366 km, 705 (dijkstra), 220 (a*)
736.7509034833616 km, 430 (dijkstra), 58 (a*)
